,horizon,method,cov,width
1,1,lp,0.406,0.173313145
2,2,lp,0.505,0.174238356
3,3,lp,0.593,0.17393999
4,4,lp,0.598,0.17558961
5,5,lp,0.547,0.175434907
6,6,lp,0.578,0.173656602
7,7,lp,0.598,0.175057472
8,8,lp,0.566,0.174904442
9,9,lp,0.589,0.172927138
10,10,lp,0.588,0.172505282
11,1,var,NA,NA
12,2,var,NA,NA
13,3,var,NA,NA
14,4,var,NA,NA
15,5,var,NA,NA
16,6,var,NA,NA
17,7,var,NA,NA
18,8,var,NA,NA
19,9,var,NA,NA
20,10,var,NA,NA
21,1,oga,0.909,0.169351672
22,2,oga,0.938,0.175915871
23,3,oga,0.949,0.17774231
24,4,oga,0.943,0.177985537
25,5,oga,0.954,0.178079178
26,6,oga,0.955,0.178611354
27,7,oga,0.935,0.178096371
28,8,oga,0.954,0.17938206
29,9,oga,0.959,0.178395591
30,10,oga,0.939,0.178555302
31,1,lasso,0.855,0.156247016
32,2,lasso,0.934,0.175363602
33,3,lasso,0.945,0.176155211
34,4,lasso,0.935,0.175639529
35,5,lasso,0.938,0.176424863
36,6,lasso,0.949,0.176656614
37,7,lasso,0.933,0.176620232
38,8,lasso,0.94,0.177513364
39,9,lasso,0.949,0.177071893
40,10,lasso,0.936,0.176625983
